Country,Name,Region,Scenario,Degrees,Percentile,GCM,Welfare_in_M_USD,Valueadded_in_M_USD,Initial_Income_in_M_USD
aus,Australia,Oceania,Crops Only,1,97.50%,NA,-91.55078125,4520.269899,1189179.25
nzl,New Zealand,Oceania,Crops Only,1,97.50%,NA,-72.06925964,141.7516445,187628.125
xoc,Rest of Oceania,Oceania,Crops Only,1,97.50%,NA,-3.384772539,65.10426786,52006.2461
chn,China,E Asia,Crops Only,1,97.50%,NA,13032.35645,221435.1687,10702734
hkg,Hong Kong,E Asia,Crops Only,1,97.50%,NA,91.0949173,37.04996696,303837.5313
jpn,Japan,E Asia,Crops Only,1,97.50%,NA,1513.491821,12398.79067,4222925
kor,"Korea, Republic of",E Asia,Crops Only,1,97.50%,NA,554.9794922,5910.945014,1436882.25
mng,Mongolia,E Asia,Crops Only,1,97.50%,NA,6.656439781,27.22495466,10260.3457
twn,Chinese Taipei,E Asia,Crops Only,1,97.50%,NA,201.8010254,1015.861582,539912.0625
xea,Rest of East Asia,E Asia,Crops Only,1,97.50%,NA,13.76995945,50.0241593,60750.1563
brn,Brunei Darussalam,SE Asia,Crops Only,1,97.50%,NA,3.037925005,0.229038401,10575.5898
khm,Cambodia,SE Asia,Crops Only,1,97.50%,NA,88.08145142,2088.186753,20846.584
idn,Indonesia,SE Asia,Crops Only,1,97.50%,NA,1741.76294,61875.84008,902508.75
lao,Lao PDR,SE Asia,Crops Only,1,97.50%,NA,38.38547134,1116.704609,15495.9434
mys,Malaysia,SE Asia,Crops Only,1,97.50%,NA,66.54225922,12135.36029,286098.25
phl,Philippines,SE Asia,Crops Only,1,97.50%,NA,331.2781372,9309.923217,308774
sgp,Singapore,SE Asia,Crops Only,1,97.50%,NA,17.42474747,21.76977893,311263.2188
tha,Thailand,SE Asia,Crops Only,1,97.50%,NA,201.2709351,7839.221029,407908.0937
vnm,Viet Nam,SE Asia,Crops Only,1,97.50%,NA,533.4935303,5584.913925,210226.0781
xse,Rest of Southeast Asia,SE Asia,Crops Only,1,97.50%,NA,274.8909912,6540.8672,59210.5547
afg,Afghanistan,C Asia,Crops Only,1,97.50%,NA,-11.52572823,1191.952576,15970.0098
bgd,Bangladesh,S Asia,Crops Only,1,97.50%,NA,557.7044678,9860.287196,272672.4375
ind,India,S Asia,Crops Only,1,97.50%,NA,3434.553711,88999.80902,2434175.5
npl,Nepal,S Asia,Crops Only,1,97.50%,NA,162.0536194,2123.73475,26950.0723
pak,Pakistan,S Asia,Crops Only,1,97.50%,NA,438.4033508,11360.59297,318852.125
lka,Sri Lanka,S Asia,Crops Only,1,97.50%,NA,33.14863586,1421.511,81567.0313
xsa,Rest of South Asia,S Asia,Crops Only,1,97.50%,NA,5.749042511,93.49046602,6360.7217
can,Canada,N America,Crops Only,1,97.50%,NA,132.8878479,8801.367416,1470133.25
usa,United States of America,N America,Crops Only,1,97.50%,NA,2671.826904,57405.47675,17663314
mex,Mexico,N America,Crops Only,1,97.50%,NA,404.0630798,5534.915611,1045179
xna,Rest of North America,N America,Crops Only,1,97.50%,NA,1.308954954,40.40275819,36104.6172
arg,Argentina,S America,Crops Only,1,97.50%,NA,-49.661026,9366.851845,605007.875
bol,Bolivia,S America,Crops Only,1,97.50%,NA,58.73552704,919.7107559,35194.4219
bra,Brazil,S America,Crops Only,1,97.50%,NA,1092.603516,31955.71294,1820812.375
chl,Chile,S America,Crops Only,1,97.50%,NA,5.160640717,409.0119576,252467.9219
col,Colombia,S America,Crops Only,1,97.50%,NA,127.094368,2222.742625,285542.3437
ecu,Ecuador,S America,Crops Only,1,97.50%,NA,1.272173166,1015.040455,91470.0547
pry,Paraguay,S America,Crops Only,1,97.50%,NA,59.06497955,2620.809568,36365.2734
per,Peru,S America,Crops Only,1,97.50%,NA,123.029274,2310.429583,192188.6563
ury,Uruguay,S America,Crops Only,1,97.50%,NA,-3.730545044,836.9436079,58933.2617
ven,Venezuela,S America,Crops Only,1,97.50%,NA,63.75281143,711.6044256,227818.25
xsm,Rest of South America,S America,Crops Only,1,97.50%,NA,0.321974963,95.43735208,12486.4063
cri,Costa Rica,C America,Crops Only,1,97.50%,NA,7.120788574,82.1032767,56441.3281
gtm,Guatemala,C America,Crops Only,1,97.50%,NA,8.532373428,636.1401485,65803.1172
hnd,Honduras,C America,Crops Only,1,97.50%,NA,6.312295914,377.5171067,20325.9297
nic,Nicaragua,C America,Crops Only,1,97.50%,NA,2.600372791,235.7424873,12682.29
pan,Panama,C America,Crops Only,1,97.50%,NA,8.997699738,134.0165555,56917.7617
slv,El Salvador,C America,Crops Only,1,97.50%,NA,14.93947315,184.3932782,22695.1777
xca,Rest of Central America,C America,Crops Only,1,97.50%,NA,3.548299074,10.4706958,1638.5942
dom,Dominican Republic,C America,Crops Only,1,97.50%,NA,20.99245071,184.5145112,73286.0078
hti,Haiti,C America,Crops Only,1,97.50%,NA,7.762007713,159.6702535,13306.667
jam,Jamaica,C America,Crops Only,1,97.50%,NA,9.662289619,52.89512883,13920.3203
pri,Puerto Rico,C America,Crops Only,1,97.50%,NA,-6.54377079,233.5853126,92681.7188
tto,Trinidad and Tobago,C America,Crops Only,1,97.50%,NA,5.245568276,18.27072428,20768.2227
xcb,Rest of Caribbean,C America,Crops Only,1,97.50%,NA,47.21938324,206.953077,125676.7969
aut,Austria,Europe,Crops Only,1,97.50%,NA,40.15655518,648.6519223,368294.3438
bel,Belgium,Europe,Crops Only,1,97.50%,NA,109.5445252,147.8681809,448323.2187
bgr,Bulgaria,Europe,Crops Only,1,97.50%,NA,-4.495197296,1383.390352,53544.9297
hrv,Croatia,Europe,Crops Only,1,97.50%,NA,11.92847252,361.0639577,50285.0195
cyp,Cyprus,Europe,Crops Only,1,97.50%,NA,6.951669693,19.01850046,19540.6523
cze,Czech Republic,Europe,Crops Only,1,97.50%,NA,17.40028381,988.4720555,193082.875
dnk,Denmark,Europe,Crops Only,1,97.50%,NA,3.820860386,283.2701295,298167.9063
est,Estonia,Europe,Crops Only,1,97.50%,NA,6.000672817,160.4385138,24291.8047
fin,Finland,Europe,Crops Only,1,97.50%,NA,17.72813797,530.8669597,226543.8594
fra,France,Europe,Crops Only,1,97.50%,NA,59.44917297,6375.849361,2334273.5
deu,Germany,Europe,Crops Only,1,97.50%,NA,330.9358521,4452.282851,3309027.25
grc,Greece,Europe,Crops Only,1,97.50%,NA,55.69226456,3688.597318,178645.4531
hun,Hungary,Europe,Crops Only,1,97.50%,NA,3.716017246,1621.763485,129410.2344
irl,Ireland,Europe,Crops Only,1,97.50%,NA,24.13986969,170.8600393,308923.125
ita,Italy,Europe,Crops Only,1,97.50%,NA,334.6795044,6094.724189,1739692.875
lva,Latvia,Europe,Crops Only,1,97.50%,NA,2.878556252,275.2819839,27634.2188
ltu,Lithuania,Europe,Crops Only,1,97.50%,NA,-5.592024803,364.5185641,44220.0352
lux,Luxembourg,Europe,Crops Only,1,97.50%,NA,5.808916569,16.16913544,60737.8008
mlt,Malta,Europe,Crops Only,1,97.50%,NA,1.296391487,4.702641381,12213.8828
nld,Netherlands,Europe,Crops Only,1,97.50%,NA,206.723877,3092.793463,749251.6875
pol,Poland,Europe,Crops Only,1,97.50%,NA,51.34440231,3174.2132,488390.6875
prt,Portugal,Europe,Crops Only,1,97.50%,NA,69.0625,325.1852949,197595.2969
rou,Romania,Europe,Crops Only,1,97.50%,NA,63.59044647,2930.95243,189773.4844
svk,Slovakia,Europe,Crops Only,1,97.50%,NA,7.796674728,350.3179987,86277.4531
svn,Slovenia,Europe,Crops Only,1,97.50%,NA,4.77789259,95.28687765,43449.5859
esp,Spain,Europe,Crops Only,1,97.50%,NA,223.8482666,4386.440585,1176747
swe,Sweden,Europe,Crops Only,1,97.50%,NA,41.38637543,420.8812585,481407.4688
gbr,United Kingdom,Europe,Crops Only,1,97.50%,NA,217.2384338,2813.18791,2462082.5
che,Switzerland,Europe,Crops Only,1,97.50%,NA,58.85306549,538.8927547,618194.375
nor,Norway,Europe,Crops Only,1,97.50%,NA,22.62761879,364.7013765,353843
xef,Rest of European Free Trade Association,Europe,Crops Only,1,97.50%,NA,-3.926640511,10.90227104,28340.1992
alb,Albania,E Europe,Crops Only,1,97.50%,NA,10.1148777,185.8363236,11598.3936
srb,Serbia,E Europe,Crops Only,1,97.50%,NA,14.55235958,557.9991669,41049.5742
blr,Belarus,E Europe,Crops Only,1,97.50%,NA,15.35056591,458.7592658,51442.7148
rus,Russian Federation,E Europe,Crops Only,1,97.50%,NA,295.6779785,12756.21138,1416931.5
ukr,Ukraine,E Europe,Crops Only,1,97.50%,NA,-116.5420685,7340.228469,98648.5625
xee,Rest of Eastern Europe,E Europe,Crops Only,1,97.50%,NA,-10.81284905,347.4417169,9089.6191
xer,Rest of Europe,E Europe,Crops Only,1,97.50%,NA,47.03751373,376.9446317,67338.8828
kaz,Kazakhstan,C Asia,Crops Only,1,97.50%,NA,44.63669968,1621.10928,156797.7969
kgz,Kyrgyzstan,C Asia,Crops Only,1,97.50%,NA,6.738333702,114.4707997,6901.4082
tjk,Tajikistan,C Asia,Crops Only,1,97.50%,NA,21.75967407,76.13675529,6962.8936
uzb,Uzbekistan,C Asia,Crops Only,1,97.50%,NA,35.04288101,809.1421436,58356.4453
xsu,Rest of Former Soviet Union,C Asia,Crops Only,1,97.50%,NA,5.890908241,72.37364004,34832.8945
arm,Armenia,C Asia,Crops Only,1,97.50%,NA,9.617687225,82.32654277,10835.7744
aze,Azerbaijan,C Asia,Crops Only,1,97.50%,NA,24.24124336,210.9243833,38413.6484
geo,Georgia,E Europe,Crops Only,1,97.50%,NA,10.50035286,79.03461594,14890.5439
bhr,Bahrain,M East & N Africa,Crops Only,1,97.50%,NA,5.766762257,13.95318447,32165.9746
irn,Iran,M East & N Africa,Crops Only,1,97.50%,NA,337.7738037,6106.238526,434931.9375
irq,Iraq,M East & N Africa,Crops Only,1,97.50%,NA,216.654419,3821.645503,174636.375
isr,Israel,M East & N Africa,Crops Only,1,97.50%,NA,56.49400711,199.1232107,327577.625
jor,Jordan,M East & N Africa,Crops Only,1,97.50%,NA,25.73307037,100.4356501,38384.7266
kwt,Kuwait,M East & N Africa,Crops Only,1,97.50%,NA,32.62429047,4.220293924,110131.9297
lbn,Lebanon,M East & N Africa,Crops Only,1,97.50%,NA,42.26574707,97.43103263,46798.6133
omn,Oman,M East & N Africa,Crops Only,1,97.50%,NA,15.37166786,17.83763443,71967.0938
pse,Palestine,M East & N Africa,Crops Only,1,97.50%,NA,-2.520614624,200.9031057,14449.8262
qat,Qatar,M East & N Africa,Crops Only,1,97.50%,NA,32.49685288,35.35367834,144336.1875
sau,Saudi Arabia,M East & N Africa,Crops Only,1,97.50%,NA,190.5852966,802.9968835,623457.25
syr,Syrian Arab Republic,M East & N Africa,Crops Only,1,97.50%,NA,1.434189796,306.2149443,15360.2432
tur,Turkey,M East & N Africa,Crops Only,1,97.50%,NA,296.5368042,7644.144411,767607.5
are,United Arab Emirates,M East & N Africa,Crops Only,1,97.50%,NA,108.1809006,53.57063242,337926.6875
xws,Rest of Western Asia,M East & N Africa,Crops Only,1,97.50%,NA,270.7569275,359.9605712,19057.4824
dza,Algeria,M East & N Africa,Crops Only,1,97.50%,NA,158.6408691,546.6797413,152328.75
egy,Egypt,M East & N Africa,Crops Only,1,97.50%,NA,421.0204468,4890.990245,221589.6875
mar,Morocco,M East & N Africa,Crops Only,1,97.50%,NA,113.4173279,2163.412904,96825.1016
